Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9
Bacteria|Planctomycetes|Planctomycetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria	2269	7648	6331	4482	11995	8367	839	9660	5493	240	77	4386	2818	858	5271	1574	3532	2311	0	4073	9430	5175	7090	1391	840	2933	8715
Bacteria|Proteobacteria|Deltaproteobacteria	0	0	2	0	2	0	11	0	2	1	2	1	0	1	0	2	2	0	0	0	2	4	4	2	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria	30	20	2	1	92	1264	6	128	23	14	29	7	3	12	37	2	17	3	0	54	24	26	26	14	26	4	12
Bacteria|Spirochaetes|Spirochaetia	2	3	3	3	1	1	3	0	0	3	2	10	3	2	0	0	0	2	0	0	0	0	0	0	0	1	1
Bacteria|Synergistetes|Synergistia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes|Mollicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Verrucomicrobia|Verrucomicrobiae	27050	53870	11342	253	21450	20	7800	196	31439	24895	173	13718	1366	1574	103763	1757	96491	52746	0	73658	214955	58676	85089	9500	17276	39708	167652
BacteriaPlasmid|Bacteroidetes|Bacteroidia	0	3	4	1	3	8	2	14	2	3	1	0	0	0	5	0	7	2	0	4	20	7	12	0	1	0	10
BacteriaPlasmid|Firmicutes|Bacilli	0	2	0	5	0	5	3	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	1
BacteriaPlasmid|Firmicutes|Clostridia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Fusobacteria|Fusobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Proteobacteria|Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Proteobacteria|Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|Caudovirales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|Herpesvirales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|Nudiviridae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|unclassified_dsDNA_phages"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|unclassified_dsDNA_viruses"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses|unclassified_bacterial_viruses|Staphylococcus_phage_phi2958PVL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses|unclassified_bacterial_viruses|Staphylococcus_phage_tp310-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses|unclassified_bacterial_viruses|Staphylococcus_phage_tp310-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea|Euryarchaeota|Halobacteria|Natrialbales	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea|Euryarchaeota|Methanomicrobia|Methanomicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea|Euryarchaeota|Methanomicrobia|Methanosarcinales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|||	0	1	0	0	0	1	4	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	1	0	2	0
Bacteria|||Haloplasmatales	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	0	0	1	0	0	0	1	1	0	0	2	0	0	4	0	1	0	4	0	1	0	0	0	1	0	1	0
Bacteria|Actinobacteria|Actinobacteria|Actinopolysporales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	1343	226	2	22	49	1	2	0	2129	160	3	40	0	10	1083	91	649	264	0	661	1440	739	2268	148	4	100	1138
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	8	22	10	22	28	9	5	18	10	3	6	11	8	4	8	6	31	13	0	4	21	4	9	8	3	4	14
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	2
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	2	1	0	0	0	2	0	0	1	2	0	0	6	0	0	0	1	0	0	0	1	1	6	9	0	4	1
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	107	300	1086	227	486	291	206	321	245	338	216	427	933	272	385	334	275	211	0	172	430	329	567	432	310	252	265
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	10132	25338	25727	25831	31757	33032	12321	32347	18648	23050	10312	20479	17884	8019	21311	7869	36774	20414	1	19827	61384	12407	28886	16176	10970	8918	35202
Bacteria|Bacteroidetes|Bacteroidia|Marinilabiliales	2	3	2	1	6	5	0	4	2	2	0	3	1	0	1	0	0	1	0	1	2	1	2	1	1	3	2
Bacteria|Bacteroidetes|Cytophagia|Cytophagales	2	2	2	1	1	2	0	5	4	0	1	0	2	0	1	0	2	0	0	1	7	1	4	0	0	1	2
