Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum
Bacteria|Planctomycetes|Planctomycetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria	3690	2491	497	740	6026	3606	1533	1917	1280	473	71	3612	2672	2037	3268	728	3572	1498	1171	2118	1544	6546	5129	1726	1610	2292	2407
Bacteria|Proteobacteria|Deltaproteobacteria	3	4	0	2	5	5	7	2	0	5	0	0	0	1	4	2	7	5	10	7	0	4	4	3	0	0	1
Bacteria|Proteobacteria|Gammaproteobacteria	2	0	0	0	0	1	102	5	2	2	0	0	0	4	9	3	2	0	7	25	11	7	7	0	13	0	0
Bacteria|Spirochaetes|Spirochaetia	3	11	3	8	3	0	1	0	11	9	6	11	0	6	3	0	5	4	4	3	3	8	7	6	0	6	0
Bacteria|Synergistetes|Synergistia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes|Mollicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Verrucomicrobia|Verrucomicrobiae	31719	15427	33603	15	17575	0	37951	19	2246	10773	988	13513	2511	20730	74941	14346	43226	102043	74599	32399	9527	42390	42067	3884	25607	34363	37428
BacteriaPlasmid|Bacteroidetes|Bacteroidia	2	3	0	0	0	2	5	1	0	5	0	1	0	0	13	0	1	0	9	0	1	2	5	0	2	0	1
BacteriaPlasmid|Firmicutes|Bacilli	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BacteriaPlasmid|Firmicutes|Clostridia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Fusobacteria|Fusobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Proteobacteria|Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Proteobacteria|Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|Caudovirales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
