Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum
Bacteria|Firmicutes|Clostridia|Halanaerobiales	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Thermoanaerobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales	164	99	5	4	73	90	54	26	39	70	70	30	15	60	86	83	6	69	79	71	56	78	8
Bacteria|Firmicutes|Negativicutes|Acidaminococcales	17	5	0	0	9	1	0	0	0	1	4	7	0	0	1	1	0	0	1	1	0	1	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales	1	4	0	0	4	1	0	0	0	0	8	0	2	0	1	1	0	2	0	0	0	1	0
Bacteria|Firmicutes|Negativicutes|Veillonellales	1	0	0	0	8	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0
Bacteria|Firmicutes|Tissierellia|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Tissierellia|Tissierellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Kiritimatiellaeota|Kiritimatiellae|Kiritimatiellales	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Planctomycetes|Planctomycetia|Planctomycetales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	140	881	57	163	2364	2820	3265	950	2599	3189	156	1795	921	1129	1302	509	151	2237	2022	1579	696	2042	707
Bacteria|Proteobacteria|Betaproteobacteria|Hydrogenophilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Deltaproteobacteria|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	8	4	0	0	14	6	3	3	6	1	4	4	4	16	9	7	0	7	8	11	9	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0	0	0	0	12	0	0	23	0	0	0	0	38	0	0	0	0	0	71	0	0	12	0
Bacteria|Proteobacteria|Gammaproteobacteria|Nevskiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	3	3	3	0	32	3	0	9	7	6	2	3	3	10	3	0	0	3	3	1	1	5	0
Bacteria|Synergistetes|Synergistia|Synergistales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes|Mollicutes|Acholeplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes|Mollicutes|Entomoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes|Mollicutes|Mycoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	1246	932	11	1	14	57513	16601	35	4440	26943	425	2345	2019	3120	1711	3185	368	10472	35081	40152	35884	18038	3790
BacteriaPlasmid|Bacteroidetes|Bacteroidia|Bacteroidales	1	0	0	0	3	4	0	3	3	3	0	1	0	0	1	0	0	4	7	15	2	4	2
BacteriaPlasmid|Firmicutes|Bacilli|Bacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Firmicutes|Bacilli|Lactobacillales	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Firmicutes|Clostridia|Clostridiales	0	1	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
BacteriaPlasmid|Fusobacteria|Fusobacteriia|Fusobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Proteobacteria|Gammaproteobacteria|Aeromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Proteobacteria|Gammaproteobacteria|Enterobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|Caudovirales|"	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Viruses|dsDNA_viruses,_no_RNA_stage|Herpesvirales|"	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|Nudiviridae|"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|unclassified_dsDNA_phages|"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|unclassified_dsDNA_viruses|"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses|unclassified_bacterial_viruses|Staphylococcus_phage_phi2958PVL|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses|unclassified_bacterial_viruses|Staphylococcus_phage_tp310-1|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses|unclassified_bacterial_viruses|Staphylococcus_phage_tp310-3|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea|Euryarchaeota|Halobacteria|Natrialbales|Natrialbaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Archaea|Euryarchaeota|Methanomicrobia|Methanomicrobiales|Methanomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Archaea|Euryarchaeota|Methanomicrobia|Methanosarcinales|Methanosarcinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria||||	2	0	0	1	0	0	2	2	0	0	0	0	2	0	0	0	0	2	0	3	0	1	0
Bacteria|||Haloplasmatales|Haloplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae	8	3	0	0	3	0	5	1	1	5	7	22	6	49	2	4	0	2	0	2	2	3	0
Bacteria|Actinobacteria|Actinobacteria|Actinopolysporales|Actinopolysporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	26	97	0	4	38	26	121	4	3	21	42	85	58	6	41	9	0	67	29	10	11	63	7
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
