"","name","control_1","control_2","control_3","control_4","control_5","control_6","control_7","treatment_1","treatment_2","treatment_3","treatment_4","treatment_5","treatment_6","treatment_7","ClusterID","ID","treatment_vs_control_CI.L","treatment_vs_control_CI.R","treatment_vs_control_diff","treatment_vs_control_p.adj","treatment_vs_control_p.val","significant","treatment_vs_control_significant"
"17","10377",25.9770376205467,25.763395026554,25.7472174887168,23.4924518691519,23.7737276973984,23.5539578081392,26.3147517560928,24.3492146037446,25.199796859582,22.9332308583477,23.6443155442119,23.3899526734714,22.6015636116868,23.3972155505846,"10377","10377",-2.52940914220539,-0.0726621620719317,-1.30103565213866,0.893907264179502,0.0389806571648088,FALSE,FALSE
"18","10381",25.3553086478564,26.2311503759198,27.192400772026,26.3515342736312,24.30484502827,25.3654588156674,26.1329102355585,22.2392252845938,23.7727034945281,24.1195566145353,24.3902665221703,26.5641852001395,23.1689995144315,21.1374177174903,"10381","10381",-3.65127499141279,-0.789083237455954,-2.22017911443437,0.775883412077936,0.00414523754824154,FALSE,FALSE
"19","10413",23.0500731555856,21.7104941089538,23.7659042998608,24.8013767698647,25.8478603506449,24.5224380978429,23.4438943295334,26.522499400011,26.1387889824416,26.3978163855844,25.5739846637455,26.5204785438318,22.9361549926675,26.0950532328466,"10413","10413",0.485242783632871,3.24125295603635,1.86324786983461,0.835730885402862,0.0105733667048829,FALSE,FALSE
"20","10417",21.5399085050261,22.8408232467821,21.9272451935469,21.231037733097,19.1199948152504,22.976276550006,23.3536497560491,19.3006273834302,20.2118514683271,18.3440184398813,20.2596904009227,20.2842875524553,21.8073875492544,20.9147865711339,"10417","10417",-3.05579197568556,-0.334575576986645,-1.6951837763361,0.860337493319756,0.0171743872226258,FALSE,FALSE
"21","10452",26.8773312148571,26.284587549612,27.2718391722687,28.1404345995409,26.8539573528161,26.3079050607858,28.795010041648,28.0493860042267,28.2373132230233,27.5430048708293,28.0241893030567,28.7109213709959,29.7890238022022,25.949826599466,"10452","10452",-0.381861128799151,2.03117546659104,0.824657168895946,0.935523520802081,0.169330237731902,FALSE,FALSE
"22","10460",20.4655594301298,18.5928949651607,18.9425001873629,20.5071132617077,20.7449972125688,20.0323390459638,18.6731019990659,22.3227357744599,21.6991170151966,22.5572086873343,21.0040880774777,22.7073530229809,19.1771640186495,19.5471261157141,"10460","10460",0.267187151896111,2.89175187949053,1.57946951569332,0.868937101279387,0.0207610921692769,FALSE,FALSE
"23","10470",22.4960279557973,20.8092986866811,22.7809455949187,23.9921855666833,21.703489633899,23.4032484653556,21.7939080718143,20.1208833122389,22.3365768387489,21.5226322922513,24.0435727048854,22.8517257885787,24.2328598916377,23.2480794294877,"10470","10470",-1.16118170451461,1.55467492813723,0.19674661181131,0.963214181628718,0.765566148443696,FALSE,FALSE
"24","10472",23.2233253466327,22.215301919873,20.8970233740682,22.832926124035,22.1949473774876,24.3288010474185,22.9795537614133,23.3577403175248,22.3383446711191,23.3297910015371,22.7034055643188,24.5559772177679,22.8764122133794,23.8734562223901,"10472","10472",-0.493923830910795,1.74056619008478,0.623321179586991,0.944364445238573,0.258166355656912,FALSE,FALSE
"25","10486",24.3775573464126,21.8441728343746,22.103228570117,23.59064952087,23.4696651659392,23.7034463323401,23.4787079116969,25.3621971441363,24.6679570782731,25.0863309133386,25.3255250271153,21.6286448880443,22.0279751569774,23.3879406622158,"10486","10486",-0.664073619852237,2.06954310223809,0.702734741192927,0.947026506528376,0.296226106949221,FALSE,FALSE
"26","105",23.2065927561778,23.6451303348566,25.262893932165,23.6083314239476,22.7552038136472,23.7234456593623,23.4921597890536,18.9883823556385,21.1556644257564,20.9516788634235,20.7058103848091,25.0818434967353,20.4094385887083,23.3574401863936,"105","105",-3.69532445466614,-0.602818233261138,-2.14907134396364,0.825857778822747,0.00887671700833971,FALSE,FALSE
"27","10525",23.6403287958015,22.6788444592727,26.4313951990898,24.8845728609091,23.5390453054906,24.3197238644581,25.1278537328335,25.3777493535554,25.7851102349074,23.5377731714626,24.2848821201452,25.9382936377718,26.5559565995536,22.8446048254882,"10525","10525",-0.846866818943419,1.90475416895172,0.52894367500415,0.953857046345372,0.431943138243899,FALSE,FALSE
"28","10549",22.443984346749,23.1646441180433,20.4868890195094,22.7414717183273,23.2465686814701,23.0794204907652,21.6601247584406,22.77213573392,22.3751847680148,20.6285238586715,23.2145036689646,22.7679686140063,20.2743940791546,23.8277518577729,"10549","10549",-1.42267457149262,1.14763441354977,-0.137520078971427,0.96439061149998,0.82561060048632,FALSE,FALSE
"29","10578",21.4330632555806,20.6177983486789,19.1940811060745,20.0588571457171,22.7385048429838,20.6969641313342,19.6853356777357,23.5746323288085,22.9360422759307,23.0870165075861,22.9551871227349,23.0533858526694,21.6405874057013,22.0693392947962,"10578","10578",0.985135532088288,3.26960340508956,2.12736946858892,0.639030323422052,0.000922790014493376,FALSE,FALSE
"30","10587",24.3585733374124,24.8829942942823,23.8009481714808,25.323358590677,24.7665146539113,24.1394360486705,24.4215405119352,22.986759710798,23.5665086469186,24.2576897451927,23.148315358603,23.1206087213101,23.8212083723915,23.3950302963922,"10587","10587",-1.9447245571029,-0.168773944829456,-1.05674925096618,0.871557521880957,0.0220503612333229,FALSE,FALSE
"31","10599",24.958374248972,24.2833208393756,23.68823067004,24.6765248121192,24.17421207678,26.0077828967904,24.6903220119705,21.431771499172,21.3978150965418,19.7358683404551,20.4584666922361,24.6149977915518,23.7761465487577,22.4351205905811,"10599","10599",-4.06238603512322,-1.26006567823447,-2.66122585667884,0.619169642045414,0.000771250341160484,FALSE,FALSE
"32","10601",22.177485539797,22.7324879293226,23.5858828875297,23.4120619707583,24.0295662799292,22.9646445774981,20.801840164253,25.1214002823728,24.3745411841031,24.2908971614075,25.0835490393302,25.2370633163631,24.6291439713129,23.3135428023888,"10601","10601",0.660567745701455,2.86690894235304,1.76373834402725,0.758624758552678,0.00330473988943313,FALSE,FALSE
"33","10611",23.0027006939079,23.4891979942271,22.3247870515602,22.3445248330569,22.884641932973,22.4947232821712,24.7111907042264,22.2791843398261,23.4763505504908,21.7208675559423,23.3561819361254,24.5812073642222,21.3465819032587,23.7728014380705,"10611","10611",-1.28751044213384,1.08219861236621,-0.102655914883812,0.964994531474755,0.858380185558527,FALSE,FALSE
"34","10626",24.622250432651,21.5090612068792,23.6808362623908,22.9717052716159,23.7984946428434,24.0582481832079,22.315157026878,24.7663564780854,23.1638105768301,25.2224927942905,23.1106381446985,23.8976149620931,23.7785337804958,24.4008843861176,"10626","10626",-0.365974214361227,1.90442509897401,0.769225442306393,0.935982113883884,0.172861993394058,FALSE,FALSE
"35","10628",24.8739422232184,25.5729262149936,25.4623524899949,22.4465288013743,23.0757893900446,22.5007777054562,23.9964223701727,22.4272836839757,23.9919484783644,25.6712517947391,24.7503576876046,23.6387281124847,23.0129756936891,24.9960318956447,"10628","10628",-1.25719410844881,1.4171478659482,0.0799768787496973,0.965761039642377,0.901943298209675,FALSE,FALSE
"36","10629",24.2225035178512,26.175641885635,25.2757187976375,25.1513125038337,25.5231043498196,25.7974712548911,25.7799066980223,25.6510140975063,23.9288412831807,25.2741228170261,25.3409307870583,24.9599320874632,24.6091892799133,25.3352658658311,"10629","10629",-1.34808136465478,0.54054913902293,-0.403766112815923,0.951747937629414,0.382995038051381,FALSE,FALSE
"37","10635",21.9503373222615,21.3314112146926,20.7362309724507,22.8406834316944,23.371367877777,23.3030369644542,22.0797448566452,24.4539084215622,23.6175129774695,24.4011668242481,22.6956836844432,21.8418115526886,22.7646849422994,23.0761538904903,"10635","10635",-0.119064706895485,2.18709603638857,1.03401566474654,0.915305361290963,0.0761042319750834,FALSE,FALSE
"38","10654",28.9539055555144,29.1797215313359,29.28103124669,22.6003741500075,27.5853379831386,28.1892191471765,28.6303450392016,20.0311600260049,21.2895754086152,19.9314329496161,19.4487011199248,24.1772624293727,23.4623834463409,23.1670557726604,"10654","10654",-8.15530550807514,-4.10536977779048,-6.13033764293281,0.0614945619862704,3.68840371668465e-06,TRUE,TRUE
"39","10659",27.1115345998962,27.6618955134056,26.8379647046851,25.4400646009868,27.1033446528741,27.5359899947316,27.423653728531,26.2898868637171,26.2555575781474,26.1239878027321,25.6060388252602,26.3015124348504,26.1718804369142,25.2423836685285,"10659","10659",-1.9616376230098,-0.0735624298360618,-1.01760002642293,0.89101245513362,0.0359778568544069,FALSE,FALSE
"40","10662",21.0014308737764,20.8133600306106,21.8212037002259,20.1968458238951,21.937679847742,20.7351370169644,19.305812387052,21.300839050901,21.3837591281516,22.655688373053,22.9056657427776,17.0924268157803,19.1008907189005,22.0956822481017,"10662","10662",-1.50566814452678,1.71237740092655,0.103354628199881,0.965636870427692,0.894734400837681,FALSE,FALSE
"41","10676",28.7999249641745,27.897027120155,28.5028483787847,29.0546338504836,28.856690788683,28.786409824677,28.8045896764007,29.5049690254021,29.7568103143647,30.3672961546353,29.1290081747755,28.5396728477859,29.141779107255,28.3843303835367,"10676","10676",-0.33202540045187,1.50966580170804,0.588820200628085,0.938844699412772,0.197214152373422,FALSE,FALSE
"42","10753",21.2982113934733,24.3055983171264,21.5945077651675,19.9923395408157,21.3521425938733,22.3744879205573,22.749051643273,21.9577836432843,21.3368448479279,22.2080306932456,22.8980946470793,22.1522702953422,23.2600237774357,23.2667379380258,"10753","10753",-0.739567008484059,1.71483748507101,0.487635238293475,0.953241954230891,0.416907661761056,FALSE,FALSE
"43","10784",22.5186260245982,23.4698543013169,21.8945890978661,21.9750611160965,22.3584585800402,23.2205951646552,22.7430739199688,21.7189997800499,21.9372606597648,22.1441375969139,21.9924367063755,17.9751090602149,21.6037377111702,21.7849602733438,"10784","10784",-2.5416981007983,-0.0364780182613955,-1.28908805952985,0.898342675420353,0.0442639920495712,FALSE,FALSE
"44","108",29.1828974685517,30.2764627764071,29.7923888049521,28.0502072360061,29.1852464301935,29.7877847799307,29.8611656460108,28.1967583624328,28.7604045481574,28.0533488777817,28.5117647575257,30.0494699004022,29.6203511032668,27.7383087079164,"108","108",-1.7846964313184,0.297340178584439,-0.74367812636698,0.93304129286898,0.151758439675566,FALSE,FALSE
"45","10801",18.5086459110135,21.8950093999524,18.4491244583594,21.4989601991756,21.6408212621102,20.0899792806466,21.7621354430309,22.0757516947265,21.4083629149408,20.7384394890666,21.7884136666524,23.5975022495923,20.6901310073996,21.150197866479,"10801","10801",-0.283809556079056,2.45641610881296,1.08630327636695,0.92609729494298,0.113747576534117,FALSE,FALSE
"46","10824",20.2151490313054,20.819541396018,20.3227258737695,23.8148314042595,20.441367764812,20.1891935602742,20.2063597925803,21.9864531566463,22.7866770369459,21.4257977822346,22.1145128398058,21.8549570062069,21.1525906041239,25.2633698261653,"10824","10824",0.103080845053503,2.91840184897785,1.51074134701568,0.891745574000342,0.0367083529344119,FALSE,FALSE
"47","11025",19.9794963703718,21.6522309724032,20.5327373479443,21.4221546155353,21.1840181395274,20.4433826924485,23.1783928345792,23.2095201491299,23.4628094031114,21.2960972999045,24.8230374330216,23.7222025855383,24.6463383632751,21.7639024565846,"11025","11025",0.771605173273565,3.38025046037089,2.07592781682223,0.76133193899041,0.00342095267334367,FALSE,FALSE
"48","11026",19.877414454828,19.5892122327081,20.2157367933265,21.9844709606008,22.9097222723605,19.6924248005474,20.0555260561572,24.2168030558897,22.9779524099985,23.7263196218734,22.2485692461561,16.8454777997456,21.1609073057308,22.8775309101716,"11026","11026",-0.493870011104533,3.27359937654371,1.38986468271959,0.931065173897912,0.139435370387872,FALSE,FALSE
"49","11098",24.7748562153873,24.9633216599137,25.2153188447672,26.2832361699227,24.8237463812159,26.4190390651473,25.5549810651711,23.9031723588462,24.0629891477004,24.5254345435653,23.8566375292529,19.8206339719691,25.0114779603462,22.2984393580441,"11098","11098",-3.47975544321445,-0.679020137300101,-2.07938779025728,0.798048247603732,0.00568393021841124,FALSE,FALSE
"50","1118",24.0894112012907,22.1493703556384,22.4771146907149,24.4018246119091,21.7363024142483,21.7713089149876,22.0538145450832,20.3869823322945,22.1019782348812,21.0822647105978,24.0029270111897,24.0794595552455,22.0804044306178,25.0562968643416,"1118","1118",-1.46421730684184,1.49597913692639,0.0158809150422741,0.967082308029433,0.98236283843732,FALSE,FALSE
"51","11339",22.273591592807,23.8701169962613,21.0109569213651,25.3513943196418,22.2862559879335,23.2655196204802,24.1536704644584,20.5758355801484,20.9956091432295,22.3957456614242,22.934698704855,21.5426332744928,22.0826418708687,22.7948346623326,"11339","11339",-2.57256020610476,0.0327010616487593,-1.269929572228,0.905775679736618,0.0554738121119044,FALSE,FALSE
"52","11372",20.4177866007778,19.818273220136,17.7624404367772,17.9477225383617,19.162455255663,18.4861043779622,18.4124003162083,17.8346315270554,19.7852880227151,18.6784110150426,19.7088094163907,16.9772687418544,19.492682532736,22.2398187594816,"11372","11372",-1.04073195112281,1.814939742377,0.387103895627092,0.958737584511413,0.577953901138361,FALSE,FALSE
"53","1142",27.4188131254387,27.5302016569466,27.1514234750352,26.7868958373462,25.8237397982355,26.1345862442054,27.7360759331296,27.2119148556153,27.2948634496725,27.1885645586641,28.2655051119915,28.5746159270864,27.5272197007994,29.3159545533828,"1142","1142",-0.0629441772339379,2.00491620205531,0.970986012410684,0.910301945973874,0.064202418335958,FALSE,FALSE
"54","11441",23.9536552735828,24.6512280644352,25.4057829669609,24.7160719240845,24.0528075706883,23.6301817895945,22.8890621812301,19.9227658547072,23.2218561289034,21.4976501364425,19.9355305354766,22.0103293599503,21.547447170618,21.4487414432234,"11441","11441",-3.98721339482949,-1.64549207410044,-2.81635273446496,0.30822362287185,6.64011075303747e-05,FALSE,FALSE
"55","11505",23.6600397560552,21.8718838110681,24.4653769555488,25.6657259041782,25.413932894151,24.5740664284006,24.5105642043667,26.5916814847204,25.7232629491239,26.0026530786511,26.5084120731881,27.6770139193697,26.2193206512948,24.6404293656972,"11505","11505",0.647907271350558,3.12385946244276,1.88588336689666,0.785508833200401,0.00473665459348959,FALSE,FALSE
"56","11552",22.2001245298389,22.928767022565,25.0303259454628,23.2449711641705,26.0129398150414,23.282201027372,23.6496743512989,23.3342727396518,21.9081243071845,23.5893520366758,22.1212131951258,21.8232202796505,20.4937772844673,24.1615368796725,"11552","11552",-2.63777849842731,0.0899193174783885,-1.27392959047446,0.910918302421845,0.0655288285967232,FALSE,FALSE
