ClusterID,p_value,control_mean,treatment_mean,foldchange,padj
21985,0.15268246660486687,96916369.23175415,115883840.57025237,1.1957096772077964,0.3310175608784028
23530,0.15235689556052323,24346803.93541798,14476901.05239778,0.5946119700474454,0.3310175608784028
8882,0.15212117524637986,233698802.09129545,261402172.458716,1.1185430567872492,0.3310175608784028
1577,0.15319691830839605,18193334.962237198,8759342.537084658,0.4814588724533404,0.3315972005965605
14083,0.15407221843695168,13018412.233961063,42893248.365612134,3.2948141136379707,0.33295477800706785
15483,0.15619012868093143,134156080.3436319,190227938.48454463,1.4179598717947661,0.336988991462717
28896,0.15814020636175144,361423556.5624765,762065304.3647963,2.1085103351116627,0.34064872702643734
1605,0.1588111926615911,109053472.29766938,63506284.16812314,0.5823407804455609,0.34099939288296843
2093,0.1587074526987823,56493507.52187874,42692440.738428876,0.7557052590847717,0.34099939288296843
22648,0.16035858393066937,56999582.46355232,81039088.52298282,1.42174880973562,0.34377191634977367
14805,0.1642093053734662,248864708.2296957,140288467.0051866,0.5637137865112797,0.35035397597444756
2611,0.16447317799098507,42471608.47375637,58750409.80154715,1.3832866687365892,0.35035397597444756
30818,0.16394299674651674,28813220.79288684,50910540.08944497,1.7669159742812692,0.35035397597444756
7938,0.16422072633808302,1440626045.06386,1182485882.878512,0.8208139002693754,0.35035397597444756
15724,0.1679335507935573,183872799.44538227,148851322.6436921,0.8095342165490172,0.35102931609058236
16773,0.16572355313356532,466228429.7111677,347385823.74279183,0.7450978996669083,0.35102931609058236
17190,0.16549659374477405,75403482.06280592,37567977.15424583,0.4982260251980709,0.35102931609058236
1920,0.16781268414359168,2019654.8535855978,3978528.9325246736,1.9699053654942007,0.35102931609058236
24504,0.16810776031106264,5052067.995454452,16263092.914613986,3.2190962056026446,0.35102931609058236
26050,0.16585986863055965,129899236.599294,47087370.69728195,0.36249151211361214,0.35102931609058236
26247,0.16659974659554497,55206327.74790427,74201931.4152781,1.3440838114448745,0.35102931609058236
30729,0.1667619921866679,28467959.154993556,39402605.63256591,1.3841036309641574,0.35102931609058236
31669,0.16845222024019005,40776179.22014113,80910084.11411498,1.9842487859713442,0.35102931609058236
4058,0.1679713261175425,22574321.574936118,31950551.63970017,1.4153493620456936,0.35102931609058236
4150,0.16607563360901367,3913382.6782493093,1515407.790756729,0.38723731240990256,0.35102931609058236
7880,0.16784164984673294,77064200.60829726,51179478.88489626,0.6641148351753088,0.35102931609058236
9214,0.16707103137923096,9562188.727158891,20184723.957446378,2.110889518433887,0.35102931609058236
9525,0.16835889617156652,11341555.936027942,18272475.97988582,1.6111083949108693,0.35102931609058236
13454,0.16926970018998636,5077699.612580613,943371.3510769858,0.18578715226471246,0.35165411666103
17367,0.1695381620563982,90656987.79607521,52273144.249036506,0.5766035858881642,0.35165411666103
20760,0.1694997687781056,1654476276.3585346,3920692531.952102,2.3697484140307283,0.35165411666103
11118,0.1717078077407037,17632838.77786417,30553033.240950666,1.732734792500127,0.3523423210826061
27327,0.17029255844612043,28436765.463217907,43091448.25261766,1.5153428159174833,0.3523423210826061
28312,0.17047384395078483,45113840.004635446,62715328.44719232,1.390157176616939,0.3523423210826061
3226,0.171281736849721,558499716.8146648,758710297.9468864,1.3584792885376886,0.3523423210826061
4345,0.17075333211860044,318584553.13092,138902621.0322122,0.43599923369521054,0.3523423210826061
4364,0.1710801883217304,6083676.631957668,3643051.1370530897,0.5988239279379304,0.3523423210826061
9010,0.17148729531014795,907713608.8186289,948823659.4933702,1.0452896709659836,0.3523423210826061
655,0.1720606036640018,27555966.80019688,16569866.794707008,0.6013168369250838,0.3525272215528098
10583,0.17444604716035075,53932187.305353925,38558013.29022394,0.7149350919501133,0.356869809892059
11942,0.17574198491784476,9027157.163955221,5219013.174101136,0.5781458192552883,0.3589737347941365
21485,0.1762901358928487,90944630.9910932,53051829.71174196,0.5833420745523468,0.3594938013138307
2805,0.17653235101774548,55810691.22741523,161943148.3955217,2.9016510068947556,0.3594938013138307
31869,0.17697195242612207,410903672.06678617,326228898.7259878,0.7939303561954156,0.3598429699331149
20422,0.17725771130503618,162479229.69644958,131373149.45896539,0.8085534976033685,0.3598787421654441
76,0.17808706631019336,15174355.136105523,62993755.117886126,4.1513299611658745,0.36101637913637386
10516,0.17848681227437949,938167084.6115236,3158107614.0056343,3.366252841105957,0.36128099860062934
7584,0.17892860237847363,19844970.521851737,32648289.270537872,1.6451669320742057,0.3616297957709512
4362,0.1795625747365156,33897450.29116062,48134345.637291364,1.4199990035782506,0.3623653763855698
11605,0.18213186761794253,287834776.52031976,355059869.956856,1.2335544517908192,0.36659331962135727
14005,0.1822039822559205,36025386.59024382,19557620.76963846,0.5428844107098337,0.36659331962135727
20999,0.18255987110868238,37738821.336981446,25435240.661628127,0.6739807911463134,0.36675950153870024
510,0.18329075824724328,15858775.169937203,7952246.866241878,0.5014414279178766,0.36767742536293047
31753,0.18636492938723523,3627803217.5828195,3972405100.6482024,1.094989133201935,0.3732861719965219
33148,0.18679929824480315,13110711.846284907,22926337.929488607,1.7486722458922082,0.3735985964896063
15830,0.18930194149820548,11457388.543004537,8870726.508878723,0.7742363345349639,0.3757605451240486
17394,0.18879012405810053,81998234.22866178,132523771.00879821,1.6161783513440058,0.3757605451240486
30518,0.1895602749992406,6071296.530923173,2276991.659981199,0.3750420768255525,0.3757605451240486
30744,0.18883667271044136,44615942.25177561,22335824.28787193,0.5006242872071814,0.3757605451240486
5166,0.18902864167622702,96716091.09408303,52801132.147828355,0.5459394765702918,0.3757605451240486
9290,0.18897408548635133,31074991.592686314,17446570.06593238,0.5614344259400712,0.3757605451240486
16525,0.18988721085361132,13786318.726925816,27636215.039920148,2.004611643421847,0.37585344685183836
30850,0.19038529983592736,90068524.24485612,50209745.466515675,0.5574616203327345,0.3762843481293292
29966,0.19127836206294688,37091808.99589591,116010804.18518315,3.1276663858055396,0.3768871248972659
31680,0.19127960985506248,23129470.149748437,11241737.642926237,0.4860352429235611,0.3768871248972659
8122,0.19153280117729907,398097625.57697153,593153066.7847722,1.4899688636050077,0.3768871248972659
10942,0.19228966366919073,855526.9862455771,7260173.502533391,8.486200458029005,0.37782244310988866
30621,0.1933899968833599,9521654.3043756,20416374.592442717,2.1442045614973164,0.37942891201384354
11694,0.19532816628044208,579754939.8305511,411918756.9396892,0.7105049541450797,0.38128683585581813
13554,0.19547343000655953,813264962.2450724,599549620.1112201,0.7372131444789202,0.38128683585581813
329,0.19497376609456257,5773680941.817987,6176451670.087568,1.069759782767414,0.38128683585581813
5386,0.19484664543457997,10664031.941327395,38814486.36531288,3.6397571367815584,0.38128683585581813
38,0.19672652372339253,119141827.34185371,127411558.54490454,1.069410813880859,0.38317415796341475
13434,0.19830315205116683,18747262.97057973,49362057.80070501,2.6330274386276753,0.385377179329411
