ClusterID,NORM_INTENSITY1,NORM_INTENSITY2,NORM_INTENSITY3,NORM_INTENSITY4,NORM_INTENSITY5,NORM_INTENSITY6,NORM_INTENSITY7,NORM_INTENSITY8,NORM_INTENSITY9,NORM_INTENSITY10,NORM_INTENSITY11,NORM_INTENSITY12,NORM_INTENSITY13,NORM_INTENSITY14,NORM_INTENSITY15,NORM_INTENSITY16,NORM_INTENSITY17,p_value,control_mean,treatment_mean,foldchange,padj
21207,44940793.547616065,51282681.61223993,52708300.657919765,43435851.264459364,29161444.465528816,64024206.05139932,40984799.71210913,43152163.34769921,33314455.751727812,56739774.12798912,20423133.856623903,41242776.043099225,12088035.468950788,8001307.776221261,16553450.32626509,2901446.4040857805,28571617.72854625,7.966997498457106e-4,44778299.60118882,23315192.716472678,0.5206806181593747,0.07766245016786681
3421,74880772.68522812,120098661.00518554,137925173.95556286,151221722.99760982,149523946.72387543,141760156.89496127,123731278.79185812,124693853.41174434,115976630.46329477,87462215.90714228,43647080.41020991,76419326.62544726,39944284.5392543,72372127.02242294,74577356.4816002,116708695.98997676,64484846.899310984,3.871238568075563e-4,126645799.65881337,71951991.73442058,0.5681356344092016,0.07766245016786681
3794,327342221.977764,242061091.13760218,332828707.8872134,462015105.9841927,782463380.448073,786545529.5715505,561551795.6092916,1370841483.3181393,447837530.4590573,559022349.1539546,1465867.9587706896,105692669.5513118,14230327.68159885,3385783.335539572,5154065.029638445,12489476.651618041,23064993.760804962,7.057600084153056e-4,590387427.3769871,90563191.64040463,0.15339620635684073,0.07766245016786681
6112,1824739389.082856,2257035241.0076184,1481853416.4082541,1976591750.6099174,1614840101.0916963,2108927956.083045,1708354819.8437238,1130535312.9607594,2122802017.271577,1885814435.1235652,893782374.4123033,1606923807.592721,925674014.9989066,1057040758.004768,785250449.3148808,1032861280.7798079,1258477460.4871519,4.238837796816313e-4,1802853333.8177164,1180728072.5892632,0.6549218677089818,0.07766245016786681
67,273035337.3282445,431519062.2976742,183782273.25528145,271382518.18390214,299150999.2482421,142682077.09052467,262972306.87475297,548571513.6246785,213348863.82240874,225541916.4774411,17838989.944267537,68404188.7484271,9211432.981870666,29071484.884689648,82453845.32844043,91882804.65049876,193394768.79508954,7.975814868254915e-4,291827216.85841215,89724928.97634059,0.30745908466746286,0.07766245016786681
9978,7891854.425466672,73135378.15853037,72875157.08644702,97023072.09295382,111359518.89601544,80193010.43105476,92571373.18313387,31500789.22001221,91721820.58334889,51766521.62703616,397269.0658652232,81802717.09989458,9488122.654307056,4165407.610006691,37776.325685854055,10173113.696017679,3244054.713047021,7.529039036996814e-4,73141330.4529959,20134372.848982535,0.2752803746429229,0.07766245016786681
16196,19633045500.368576,22186993809.370872,14220933002.128325,23274594623.852757,16694928325.088463,12732601734.718288,15848919655.454998,24393250529.505356,13504352243.086441,22539969975.236214,27362707654.02182,24993098487.146053,31889160058.911434,23798118428.56496,29359482135.869537,28768300488.056534,21051369804.686825,0.0013101807327879674,18054402158.174896,26220275879.061672,1.452292667979002,0.07855361719123662
16500,305678267.6075353,379180087.4813958,267783258.03136826,392971032.58782077,287927469.46612877,429450370.8854486,164336921.55434528,279643750.54968184,184862978.86923987,272275912.49865204,99528339.13186291,127029714.72730574,148719302.3891753,237100067.0916182,178643552.8559073,75845356.85894477,154336229.89506936,0.0011545326985640588,299092681.8925516,161684809.43106696,0.5405843045305665,0.07855361719123662
17039,59732474.65060259,57847178.87789076,58435123.99602775,46110493.71586986,55780117.20528912,65995055.1751698,44810968.33086204,47510776.18714596,24072823.19814399,67649822.39208898,76300539.77041426,71583763.13846351,97727054.00250271,108004293.33989814,100654191.75150181,124317049.38292992,68768304.0627587,0.0012942301589573576,51143890.14855576,89375627.23006976,1.747532832767779,0.07855361719123662
18089,700980018.9926113,739776736.767268,724040784.1819661,708230708.3808582,505020264.41714644,877962785.1664197,452213659.4503407,370821389.2527847,503583934.80265313,618084970.611069,170558913.8145033,497808724.5392067,336695517.0612532,138576495.9829811,259184442.38476762,245420703.015082,488993552.8733187,0.0014468816673750414,620292253.4902276,344415415.0352727,0.5552470034847837,0.07855361719123662
22126,697874407.2426966,772310164.7174144,806276038.6189692,414097354.43714225,925184201.6733391,834220511.2249221,346694205.7531651,438627887.97967994,322580514.741463,511517580.4630486,64874629.93906221,257297535.5880653,241958921.03978717,145099664.62106082,243985677.43710318,114968346.60654233,477741073.1090885,0.0014399383551834365,617540587.3765324,257180428.60046977,0.4164591507953135,0.07855361719123662
2947,776969621.1701704,810216196.034108,1085798934.1155124,1782349029.5861,1413343050.4294856,752549984.4522698,1096892973.4928296,1937844969.6402094,1135529489.6106696,1227399148.5607831,2310606453.1146564,2737786808.724244,1893956015.6089013,2108254221.268605,1502069987.802354,1969698884.796962,1854540322.3698976,0.0013525475723878448,1199054916.5034838,1950538980.2808003,1.6267303135445117,0.07855361719123662
6576,84691185.14380123,84410666.22632149,128267303.19230688,302080184.89015573,270692808.93566924,87834132.80046354,169641029.15215155,81410095.1073685,203915404.13841963,131673097.1131848,0,70255812.7649608,0,417884.0308843596,2464782.9789525317,971945.6155145158,120796904.09543024,0.0012145439393883497,156993645.50962865,40822553.32486591,0.26002678765977316,0.07855361719123662
70,8488866.38419082,20277420.514567867,17753484.40743937,23458503.5500372,67177312.83897927,23418254.67192845,27897243.23216867,26603999.664360996,42750054.21529652,16145595.213305963,1317908.690394264,7912816.049249383,1828679.5665516756,2507231.9572431827,4353524.105370772,1272271.789439256,12230168.424301121,0.001431150854617559,28647237.719885465,5946024.474481952,0.20756013311379487,0.07855361719123662
1624,20139690.952248886,19966427.414945964,22597797.29479021,34813671.63518997,38737965.80858981,13133508.113194874,26144392.71571411,20097985.884408854,31896484.44558766,19365290.564234875,5598652.560281984,21546114.259962402,499834.841309741,3893870.0185251604,265554.61382203986,3525207.3192175273,19429474.81613431,0.0016535005263454668,25280880.47385226,9265499.874186005,0.3665022618088485,0.08618044743312572
10497,648194373.7981068,754955585.5514685,682991872.7788241,660213424.3670739,650234132.8493742,792532873.2187537,636872173.8398982,755476293.8131105,543280545.1842214,666547948.1017617,535931749.6883696,477820568.11703426,555422887.6031665,439101871.21177423,408918880.75339365,434554823.01294184,684279181.1852341,0.0019134626710339971,680527919.4889812,525322238.70920944,0.7719334117896028,0.08868175273876809
