ClusterID,p_value,control_mean,treatment_mean,foldchange,padj
16435,0.12688964827093596,28641761.937257838,17340601.82756578,0.6054306947160518,0.3037661276789073
2281,0.12792295464067346,194237026.86378896,433260823.895084,2.2305779227094193,0.3045096321390042
4066,0.1274746533409683,15404896.047538215,43453051.52266216,2.820729941219317,0.3045096321390042
4753,0.12771684378931153,72581172.36950393,15573351.389254138,0.214564616151027,0.3045096321390042
16133,0.12911182775429872,2628543.291515722,108495346.16722444,41.27584526281922,0.3056130155083026
19783,0.12883211338063963,1954412.7469689148,22973099.268672932,11.754476788130733,0.3056130155083026
35,0.1289702349191075,136621992.73628128,76838455.69584711,0.5624164467002531,0.3056130155083026
14151,0.12976809535353365,9399399.182587963,82624694.97940755,8.79042302325735,0.30659228509694675
10355,0.13282345409202803,179849413.70861998,132522549.56092452,0.7368528305331521,0.30667073935658046
10620,0.13289711865312923,25312384.44134875,324970931.4497014,12.838416396633457,0.30667073935658046
12853,0.13143846895398004,131915703.20600623,78724905.63106227,0.596781912371126,0.30667073935658046
1334,0.1330974460373127,580580759.7402148,428514388.42781156,0.7380788654097898,0.30667073935658046
13362,0.13173733501026677,51028029.49044642,95031967.07817389,1.8623483608350189,0.30667073935658046
18959,0.1313719309877643,329085266.4318766,521535194.50031745,1.5848026262466528,0.30667073935658046
2152,0.13083951139046202,434025888.35345566,285412302.09568447,0.6575928066835833,0.30667073935658046
248,0.13176949345504724,17539969.311413404,70094713.9464832,3.99628486811958,0.30667073935658046
32,0.13319797144522363,6771486.262996621,16330069.312036486,2.411593065066613,0.30667073935658046
4975,0.13308966047403903,21299163.45572685,77610214.6024593,3.643815155641322,0.30667073935658046
6063,0.1302908787931284,1973260.0770315048,4222692.051781126,2.1399571708426692,0.30667073935658046
7713,0.1303089736702725,35957343.05018542,22498058.635904115,0.6256874598466223,0.30667073935658046
8077,0.13291592706872626,1002152987.2902704,557696565.4161481,0.5564984313663609,0.30667073935658046
813,0.13163973922537192,4378814.358873478,20015018.388121583,4.57087621163067,0.30667073935658046
17312,0.13401068564624005,45830081.60126746,35072153.589331135,0.7652649169265541,0.30709731082056624
17633,0.1341121167507536,70411815.13004205,112153343.06860994,1.5928199388337934,0.30709731082056624
8771,0.13366640932242563,69419064.93033516,160586898.19124633,2.3132967629627648,0.30709731082056624
112,0.13476167038654577,54269614.67100755,32069063.59895029,0.5909211589829574,0.3080266751692475
14849,0.13506154809914822,76096015.22484432,116688016.91563869,1.5334313704975924,0.30815486786520463
11445,0.13533316889006108,25701545.448742535,14821647.211149862,0.5766831119439559,0.3082182441027697
15,0.13691479596458442,27977408.774084713,84150592.86011809,3.0078051023104835,0.3112595361497027
6032,0.13817409543958445,453169363.7078464,363262658.56964964,0.8016046265736563,0.31355844997420956
11212,0.1387274711189684,20351624.743341327,99956476.48105301,4.91147403421719,0.3142500421046166
278,0.13909931771118536,3117592.2118021594,9260076.03884268,2.9702653232796563,0.31433036206735715
7169,0.1394479631356447,6060034.6387779955,4579861.807649195,0.7557484537040078,0.31433036206735715
9826,0.13950896607578114,1099587618.0349703,754383047.1036794,0.6860599689652814,0.31433036206735715
3134,0.1417561909958648,26969422.286898464,14453883.904705249,0.535935985240842,0.3184553722034752
685,0.14209559329332277,27612835.601715244,39853946.33802225,1.4433123389742202,0.3184553722034752
9756,0.14201136909640727,1038689095.6017926,2382190614.3952575,2.293458768829253,0.3184553722034752
11292,0.1438397027457191,1607806098.5547268,2638570657.190547,1.6411000428238112,0.32179360047891853
5046,0.14484427315380982,8582432.280604584,5938695.628765299,0.6919595092158364,0.32346848280285445
14777,0.14545704050465788,20168147.961633723,13693091.05265332,0.67894638013872,0.32426401974936075
14084,0.14632807924124444,161396514.85353842,126721343.5273282,0.7851553897698677,0.3248912231192179
17087,0.14676652563376064,169740056.63938364,117603157.07073861,0.6928426878081525,0.3248912231192179
3150,0.1467293024304369,862671879.7897494,1065009565.1165386,1.234547676894375,0.3248912231192179
4735,0.14647634783516245,37931179.95647244,27742934.524603903,0.7314018323827531,0.3248912231192179
1739,0.14805596981916966,7126717.5683870725,8227309.259463271,1.1544317816042324,0.3260326582777534
2192,0.14770090693245988,8992518.368698545,10837306.224614643,1.2051469655416547,0.3260326582777534
8432,0.14787701930490724,22795129.281808335,37449260.298350394,1.6428623779833877,0.3260326582777534
14645,0.14926011846436293,111633315.84755677,64794433.903684914,0.5804220130141643,0.3265379754381205
5157,0.14931878940129245,3873637.902692157,11071827.429131264,2.8582504888844684,0.3265379754381205
823,0.14916133701750303,26253460.197887544,40744374.49236144,1.5519620722467622,0.3265379754381205
9159,0.14907968899245572,667608701.1597441,550320760.1036788,0.8243163385193794,0.3265379754381205
1852,0.15043233129430084,19884849.367711835,14565022.02143511,0.7324683105261621,0.3272744694595461
7691,0.14994787892430878,4122381.6226079282,6667234.4339621775,1.6173258675028508,0.3272744694595461
9355,0.1502542660659731,11276035.430167621,29131958.69348852,2.583528481610621,0.3272744694595461
952,0.15085959813573516,1936017.886450303,13411658.140823929,6.92744536850032,0.32764008942194023
155,0.15166903074205285,3702477.2804055647,13950677.747894006,3.7679306829847357,0.3288330272006086
4211,0.15275546329480347,100232335.22343008,131478852.1602703,1.3117408854855863,0.33062141370656095
1151,0.15319691830839605,18193334.962237198,8759342.537084658,0.4814588724533404,0.331010093575748
10210,0.15407221843695168,13018412.233961063,42893248.365612134,3.2948141136379707,0.33176709387445813
4744,0.15390182614796535,4259607.685356809,29945576.511341203,7.03012547711487,0.33176709387445813
3975,0.15441036817413972,973043037.3547243,742498077.1800393,0.7630680747673451,0.33192977104100785
15846,0.15577548273571346,176838038.25867024,151031040.48905766,0.8540642159134149,0.3342957727978638
18156,0.15814020636175144,361423556.5624765,762065304.3647963,2.1085103351116627,0.33879528956144717
1172,0.1588111926615911,109053472.29766938,63506284.16812314,0.5823407804455609,0.3390833573044783
1541,0.1587074526987823,56493507.52187874,42692440.738428876,0.7557052590847717,0.3390833573044783
9157,0.1596588462189721,115130775.83384764,80874527.09256044,0.7024579353940555,0.34031835011936046
15285,0.16035858393066937,56999582.46355232,81039088.52298282,1.42174880973562,0.34123442775819207
2072,0.16313565871467708,70352529.04893889,175943940.25414816,2.500890055164291,0.3465604581770619
11353,0.1679335507935573,183872799.44538227,148851322.6436921,0.8095342165490172,0.34734682933703137
12083,0.16572355313356532,466228429.7111677,347385823.74279183,0.7450978996669083,0.34734682933703137
12368,0.16549659374477405,75403482.06280592,37567977.15424583,0.4982260251980709,0.34734682933703137
1418,0.16781268414359168,2019654.8535855978,3978528.9325246736,1.9699053654942007,0.34734682933703137
15775,0.16810776031106264,5052067.995454452,16263092.914613986,3.2190962056026446,0.34734682933703137
15828,0.16657441302198533,87832720.04173963,131971852.70327333,1.502536328609179,0.34734682933703137
17034,0.16659974659554497,55206327.74790427,74201931.4152781,1.3440838114448745,0.34734682933703137
17535,0.16845222024019005,40776179.22014113,80910084.11411498,1.9842487859713442,0.34734682933703137
1932,0.16447317799098507,42471608.47375637,58750409.80154715,1.3832866687365892,0.34734682933703137
2999,0.1679713261175425,22574321.574936118,31950551.63970017,1.4153493620456936,0.34734682933703137
3062,0.16607563360901367,3913382.6782493093,1515407.790756729,0.38723731240990256,0.34734682933703137
3301,0.16546614631838863,52396850.08478603,57523298.85296101,1.0978388731360686,0.34734682933703137
3585,0.16808590031407725,12177396.486218696,26882341.384944964,2.2075606567765145,0.34734682933703137
5778,0.16784164984673294,77064200.60829726,51179478.88489626,0.6641148351753088,0.34734682933703137
6772,0.16707103137923096,9562188.727158891,20184723.957446378,2.110889518433887,0.34734682933703137
6990,0.16835889617156652,11341555.936027942,18272475.97988582,1.6111083949108693,0.34734682933703137
7681,0.16421535065341836,1615899442.1155357,5758652007.689936,3.563744040997197,0.34734682933703137
