ClusterID,NORM_INTENSITY1,NORM_INTENSITY2,NORM_INTENSITY3,NORM_INTENSITY4,NORM_INTENSITY5,NORM_INTENSITY6,NORM_INTENSITY7,NORM_INTENSITY8,NORM_INTENSITY9,NORM_INTENSITY10,NORM_INTENSITY11,NORM_INTENSITY12,NORM_INTENSITY13,NORM_INTENSITY14,NORM_INTENSITY15,NORM_INTENSITY16,NORM_INTENSITY17
22784,39540190.44290021,36178014.537850276,35066903.23204912,25754275.046943408,15394088.0453881,38460720.46758808,23303256.91172619,18094796.92216873,28082114.429493263,33724745.90479236,19473770.869926628,31496495.734057046,11399612.932556815,4165978.199798939,16345977.220953515,15528734.950756982,37721956.21848642
22828,21343750.051911622,11874146.055434085,37069303.44666562,15081694.708467405,12583768.664307542,17198847.930133108,4621804.664467584,30918060.181520548,20958857.330409996,9304376.971276801,10095081.19006493,33662203.13597399,1216742.7336907794,15705048.276473556,9554636.237669665,1084227.0786496052,20684397.156640366
22842,3148362.456028617,7315105.300479739,4122305.612561957,3503082.068118152,2460482.780671944,1374411.5083771436,6010260.535864386,5167133.323204642,3863001.844896741,3101663.813439211,31451562.1406419,3442287.8553545647,12028221.628085075,9780864.408331659,8569818.34312032,16409324.213784713,4322061.104491789
22846,42301854.147797436,24890111.859930936,51527767.15134992,359974437.07990575,48736614.8826299,36437841.51093944,137947334.54612252,67361933.33106968,143320060.79929245,29648718.523182955,372996621.3663497,50395599.07612248,51830158.633311555,171947848.88473976,25879244.149135858,192122078.11183047,29991091.1362956
22941,157113207.0505899,118623379.97949323,143130170.9347633,145971248.66056928,149216121.84091192,139545613.05982018,110920253.01687074,188582791.25174055,96898474.65651509,228577766.64250162,136594765.22173882,133729583.35958984,135218236.74286142,195093798.62774852,309067803.47857755,122631578.4311351,232029913.36479518
22944,19016372.826213367,18063926.769400615,20807131.227815956,95314039.60175364,28537776.690922603,14956309.02896927,27392808.296222247,17599154.203370612,46860115.75659755,9437437.331283094,36842181.31685752,23460244.694151524,20507340.95646391,9037023.668890385,11086312.180568196,18461777.91544878,24252213.323949195
22969,7411000.793824746,9188816.635300392,8405920.03014346,8810756.217344394,17914017.797865935,3530624.8208619333,15715183.191343447,558539.885205059,15170936.510908416,5451587.600918341,7611153.273857564,2694873.9379078136,16709517.348130845,3057082.3548797006,21445220.505830944,24072896.7116574,3570284.292830444
22975,16390396.414006855,101603425.28884079,19457745.558076434,384306468.8811195,39274286.85541192,20556269.88029196,83337342.7357917,12825221.03732033,61256601.99060509,28356191.419649683,55596477.8926307,6102553.94251271,34399780.317288555,18817951.22605982,16402442.594840664,80709336.10940886,20570941.807700362
22983,37132735.08571954,29679347.109824114,41351244.5597471,56277122.36090193,15608080.896124357,34161843.93976026,38392488.92600933,74162428.17303286,33613017.24038276,28527612.82142119,133106465.76990683,14192524.417764248,135369711.1390614,99281312.16933978,92666107.973842,43029891.61739972,18195685.794893872
22984,50057552.27329049,56733621.94014257,46924228.34235129,66683397.00890339,53749306.75908479,64110916.3108212,23007373.694375344,25588656.780416578,25358563.145483375,61479852.27943726,13820367.821395548,40667075.44918679,18642629.798087597,3907461.635115337,15874500.027611518,14551112.13526939,38427364.04560694
23077,87819974.29341197,57505781.055758715,63356753.24190393,55982791.87884121,67457189.72412483,57956704.755936235,33507519.820351508,30614130.291326657,65056687.45010023,55989477.31244643,9358645.004079187,320999298.24784577,46433474.09834785,12995008.203422569,34577075.01160726,25359266.05820739,53557650.67561356
23080,48506985.41581962,28566653.063329116,25710554.279400423,17243466.17640261,26063287.74532811,4545558.842022879,30705084.006592594,27666409.377194144,7886561.707262399,41237259.42706903,6643573.618403685,36590799.60863756,10467595.391369294,69045577.40118732,54810211.02680249,5506872.877842438,37279458.29179683
23085,679267.479562185,1963515.8541431883,1692812.1362859826,1220754.970832605,1904180.6367711788,891072.8212088868,3028066.6331242546,3820352.243007523,4275005.490264809,983156.3132294095,23492320.254190776,670727.8172032465,221377.32768648688,36884021.69055834,29745617.052243583,923680.4215735066,2201917.2276442824
23137,27061618.870765533,20462197.592563584,72580718.17468,68828046.6590243,50214528.346397236,26367013.196021352,39175337.41150951,45916123.40410274,55418976.38665476,44404798.10791235,58017282.798388384,29261584.825993024,66831415.94070059,36790568.14459812,108784543.00106612,62399529.42524418,95232905.3336358
23145,41035857.83406839,47577508.310826406,46902640.93962631,22758104.372135416,58184300.67732577,48398943.78328099,88491883.23969483,17594338.810494233,50205908.87104391,47340519.69376945,21902304.749388777,25144140.62821779,47415253.326504946,20538171.2655671,92868350.52470425,65225076.2200398,44930175.73278454
23159,59565280.33882473,91364992.22111899,49660449.39806642,102525040.60131638,45076252.756549,78494083.17173062,50834175.65817614,28042621.967896733,52040787.38025776,82336172.68780455,43982021.69264431,46960608.7260127,48219783.940602005,69394787.52609158,78241057.12833047,61458411.76472443,83258030.80941895
