Cluster101,0,0,2,0,0,0,0,0,0,0,0,2,0,0
Cluster102,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster103,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cluster104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster105,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cluster106,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Cluster107,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Cluster108,11,12,19,20,14,5,7,18,22,20,17,26,12,23
Cluster109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster111,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster112,0,3,3,4,5,5,0,7,6,9,3,5,4,7
Cluster113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster114,7,6,4,0,8,8,0,7,3,7,2,4,6,6
Cluster115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster119,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cluster120,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Cluster121,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cluster122,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Cluster123,0,0,0,0,0,0,0,0,0,0,1,4,2,4
Cluster124,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Cluster125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster126,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster127,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster128,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster129,0,0,0,0,0,0,0,0,0,0,0,4,0,5
Cluster130,3,0,0,0,0,0,0,0,0,3,7,2,0,5
Cluster131,2,0,0,0,0,0,0,2,0,3,4,3,2,0
Cluster132,5,0,5,4,2,2,2,6,0,0,5,7,0,0
Cluster133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster134,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster136,21,19,4,10,20,26,17,12,18,28,22,18,27,16
Cluster137,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cluster138,16,16,16,19,13,21,15,14,18,12,14,13,17,14
