Cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Cluster111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster112,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster115,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Cluster116,0,6,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
Cluster117,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Cluster118,4,0,3,0,3,4,3,3,3,3,2,2,0,4,2,3,0
Cluster119,2,3,3,5,7,0,3,0,1,0,0,0,0,3,0,0,1
Cluster120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster121,6,3,4,3,2,1,3,1,3,2,3,3,3,3,3,2,3
Cluster122,4,3,3,5,3,4,4,4,5,4,5,4,2,6,5,4,4
Cluster123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster126,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cluster129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster130,7,5,6,6,5,4,6,6,6,6,6,4,5,4,6,5,5
Cluster131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster132,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster133,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster134,4,5,5,6,7,4,2,2,7,6,8,4,7,7,8,6,7
Cluster135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster136,1,2,1,1,2,1,1,2,0,2,1,1,1,1,2,2,2
Cluster137,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0
Cluster138,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cluster139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster140,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster141,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cluster145,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Cluster146,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
Cluster147,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cluster149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster151,0,16,0,26,6,0,21,15,31,14,0,0,0,0,0,0,14
Cluster152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster153,6,7,2,3,0,3,2,0,3,1,4,2,3,3,3,1,3
Cluster154,0,5,4,2,2,0,0,0,3,3,2,4,3,5,2,3,5
Cluster155,6,16,7,9,3,4,12,7,6,12,8,7,11,5,8,12,13
Cluster156,0,3,1,3,0,0,2,1,2,0,0,2,0,1,0,1,0
Cluster157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster158,4,2,4,11,4,0,8,11,10,2,0,0,0,0,2,5,7
Cluster159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster163,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0
Cluster164,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster165,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster169,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cluster171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cluster172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster173,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster174,14,11,8,14,10,15,8,10,13,10,11,11,9,10,13,12,12
Cluster175,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster177,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster179,13,27,10,22,9,20,18,16,10,16,15,15,13,29,29,14,21
Cluster180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster185,4,3,5,8,12,6,12,8,8,9,5,2,1,2,7,8,6
Cluster186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster187,2,9,3,6,4,2,4,1,6,1,4,2,3,0,16,5,7
Cluster188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster192,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,3
Cluster193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster198,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Cluster199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cluster204,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster205,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster206,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster208,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cluster210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster212,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster213,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster214,0,2,1,3,3,2,3,0,0,3,0,0,2,0,0,0,0
Cluster215,0,0,0,0,0,0,0,0,0,0,3,2,3,6,2,0,0
Cluster216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster217,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster223,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0
Cluster224,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster228,6,10,6,3,8,5,7,5,4,5,6,0,6,9,7,2,2
Cluster229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster233,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster234,18,14,16,14,16,14,14,15,17,17,16,16,14,17,14,19,18
Cluster235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster253,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster258,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cluster276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster279,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cluster280,1,0,2,4,0,1,1,0,1,0,0,0,0,0,0,0,0
Cluster281,9,0,5,6,0,4,6,0,6,4,0,0,2,3,0,0,0
Cluster282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster284,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster305,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Cluster306,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster317,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster319,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0
Cluster320,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster325,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster326,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
