Cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Cluster148,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cluster150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cluster151,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Cluster152,0,2,0,4,0,0,2,0,3,3,0,0,0,0,0,0,0
Cluster153,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster155,9,0,12,7,7,15,4,2,6,5,8,1,1,7,0,2,1
Cluster156,0,0,1,0,5,2,0,1,0,0,0,0,0,0,0,0,0
Cluster157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster158,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster159,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Cluster162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cluster164,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster165,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2
Cluster166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster167,0,4,0,8,2,0,10,3,8,3,0,0,0,0,0,2,2
Cluster168,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster169,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster171,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Cluster172,4,0,2,7,0,11,4,5,7,5,4,2,3,2,6,4,2
Cluster173,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cluster174,0,0,2,0,0,2,0,0,0,0,3,2,5,0,0,1,4
Cluster175,3,5,7,3,0,3,0,0,6,2,7,9,0,0,0,0,0
Cluster176,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster177,22,12,25,17,24,26,24,7,16,7,16,6,14,20,1,5,11
Cluster178,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster179,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Cluster182,28,10,26,26,19,32,23,16,17,14,18,8,7,19,0,7,12
Cluster183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster185,0,0,0,1,0,0,0,0,0,0,3,1,0,1,1,1,2
Cluster186,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
