ClusterID,Control Mean,Treated Mean,Fold Change,p-value
9673,102504776.44887644,42529474.82002075,0.41490237131761404,0.008681159445738586
300,520077939.76877224,107324879.88005894,0.20636306921184894,0.009238177686185785
24670,211735789.45502353,78353695.93002261,0.37005409492506386,0.0095245088031365
24955,81430050.29349089,46886405.462945655,0.575787504661452,0.009721953251493304
4363,79252347.35702085,110686205.56951997,1.3966299959658472,0.009793489628356456
3933,2971814363.760277,1814887033.7282968,0.6107000005989256,0.01001511939991346
22640,117754658.15097676,479566957.43131316,4.072594366640223,0.01002184199430953
22062,612488499.6526238,330771492.1019824,0.5400452290770869,0.01005684981278917
3373,1556351234.6601346,2279740722.8905983,1.4647983515034977,0.01014264589863871
15121,2631968426.637351,618760857.536008,0.23509433140371966,0.010324803053050788
24643,9306656.52560209,3516385.9692899445,0.37783558033076264,0.010383867295030894
22247,225673574.00153527,449196437.0629268,1.9904698148657447,0.010627738816199312
13280,23791202.681503877,48886153.094479546,2.054799572300957,0.010674114402114682
15224,28266343.547725007,11766210.10548519,0.41626219130957187,0.010718412186734928
21220,32963773.57874235,17122898.84951154,0.5194459550757787,0.01105700370308575
14238,35102232.986581944,62738108.70998518,1.7872968005758274,0.011276925231935197
17506,30761602.309903607,15293622.004065149,0.497165974970732,0.01132713177953969
18727,59362754.43837546,25839548.246072516,0.43528216455819246,0.011706033628955472
4889,216264161.22030938,135718425.20948243,0.62755855821726,0.012202741753005768
10350,3636109702.0580616,1965913143.1129775,0.5406638699597699,0.012248809401119111
8430,9640803.792301925,59088850.9535608,6.129037809144357,0.012327325795397059
24892,17791233.458640076,8863330.26733891,0.4981852600576466,0.012405836791780388
8206,94861138.62765573,243820104.34127298,2.5702843953655634,0.012467008570428042
19832,2717083.673553774,1328266.5836492018,0.4888574454212199,0.012510373854245945
22377,419180047.6012963,150709769.991963,0.35953469363434687,0.012532205300838166
6678,1328625082.7199326,864496137.5402474,0.6506697403081309,0.012650690385886077
11574,172720815.43211544,69028897.89752465,0.3996559287010495,0.012826140046019
743,44662955.309771135,13750830.366964703,0.30787999297387214,0.013146087172655856
24274,44778299.60118882,23315192.716472678,0.5206806181593747,0.013441783088567492
11244,32762503.707044993,91495040.95688795,2.792675485824167,0.013491341648459717
9471,14671964.469135992,27612241.930996574,1.8819730642806425,0.013633206760007224
2336,12743019.354145443,65927139.21203376,5.173588564831532,0.014229559163298771
2449,101427566.73560272,300986011.5733189,2.9674971140529975,0.014445176864269426
18844,32708244.131716423,18665968.54404514,0.5706808494175688,0.014469321317989926
23968,373510856.08959347,217872129.9385875,0.5833086947446765,0.014471079766861336
652,38067231.39420644,20391822.811839424,0.535679167225776,0.014661481586504271
24006,10943245.641703317,1747220.1158692357,0.1596619662096227,0.014727597985898093
4362,49050337.06222579,20000388.03581181,0.40775230576782995,0.014732441385898788
1071,6131096.929666999,14511180.616013434,2.366816376005588,0.015184481513321194
23225,756690667.6682428,1491380514.4481664,1.970924947500522,0.015199737894295592
13943,54007762.677203245,24447979.138134554,0.4526752808528038,0.015354100761173746
19175,61917921.881220855,13640236.611618083,0.22029545238589546,0.015363475547674973
5030,37980690.17899673,13241286.448196001,0.34863206502546434,0.015452817010619823
7167,46388720.343025446,308691721.4755804,6.654456497030582,0.015523107137254667
6185,220788966.73979834,545404756.566074,2.4702536753516227,0.015533446319015971
19775,45930798.221307725,23966676.416723415,0.5217996931219246,0.015865036731708936
8526,32361253.90976664,170818579.8334142,5.278490762740843,0.015875349312492272
7060,73487000.01861839,22277865.03351174,0.3031538235043954,0.01631684887523765
18084,40604117337.24574,24119637948.293495,0.5940195115673355,0.016957391730351535
392,11676925.057727367,4805889.907504022,0.41157152964030186,0.017002465613309464
4841,622604411.3884182,187272726.15039134,0.3007892695986044,0.01705419035032368
19975,19196844.79183052,42231713.178712934,2.199929917477127,0.01758189826753377
5439,21749172.5726759,3074899.9104510904,0.14138008699761637,0.017796906694404122
8133,263845865.83690894,456856572.72329754,1.7315282590241317,0.018340403842051184
24857,125865637.63328364,49141349.40974806,0.390427048508061,0.018447022223479947
8552,30961982.13737251,58071075.006268784,1.8755606391289263,0.018465005913591227
24581,42299620.45168547,147044503.61883318,3.47626059167096,0.01871115140311052
11920,119460889.74903376,271008549.9258673,2.268596446043625,0.018953996450685264
1010,275187889.41954684,88972573.74749793,0.3233157314268719,0.01938800835779086
19905,35930590.40182026,14263490.261671208,0.3969734452498341,0.019634846345213616
7582,61907362.33455469,201079782.01445383,3.248075421591942,0.01969058265818214
10216,364372940.47083396,601634023.1347985,1.6511490187975582,0.019757202586920576
370,8679229.717753625,277156503.4909082,31.93330658410576,0.0197589971352972
21733,198677474.6421592,345582626.47226983,1.7394152361494608,0.01989608577693186
192,63789196.29871747,23620700.32089308,0.370293116882678,0.019954671647885593
15463,357719785.5208765,824716861.2233361,2.3054829355397946,0.02001341815511124
19776,17115069.839647286,130243646.24674968,7.609881085325084,0.020051648447265275
17213,538963530.6174319,218595561.42033648,0.40558507023641344,0.02069268725497211
24452,3700147.2986130584,32649706.576303948,8.823893737566117,0.02084220275662229
838,31288525.844098594,48435615.55273891,1.5480312429572156,0.02103752428814305
11394,1003735362.2846252,593252948.1173512,0.5910451802425636,0.021062508619936315
11859,1237583672.4726775,874723375.7076119,0.7067993826711733,0.021230913944402425
5993,88276374.61656624,421701748.21322405,4.777062379882625,0.021357327400644246
21074,15634739.389156763,42844848.57556245,2.7403621837967345,0.021428422218207285
10281,76046000.09871142,1280184048.986012,16.83433773405926,0.021458237274651716
10059,17796575.48777645,78323962.68540347,4.401069337142989,0.021624104702843316
23535,9676660.191812653,19362057.157608464,2.0009028708056267,0.021947675264886307
19582,3010259480.722988,1449830217.5698793,0.48162964915624706,0.022355402018041693
6138,7740341.321637626,22298694.74073732,2.8808412722579497,0.022399702561261715
1562,256732754.63133028,180854589.1042209,0.7044468843250217,0.023100381056393948
11634,6678759.379701146,46107950.99717764,6.903670034484882,0.023599483475137174
18687,52528262.70516996,113617972.32950494,2.16298743720535,0.023643794094986126
16583,33365010.896947682,12175567.268340519,0.3649202245414034,0.023829447042818055
21682,23219285.851517275,2967360886.1443043,127.79725031682663,0.02400744577980145
12128,52397057.25773469,798184589.7101558,15.233385832795605,0.024118432586125668
11185,9520825.351203224,65506411.89021858,6.880329117888924,0.0241197356905348
13146,30314757.718681708,7537648.40032578,0.2486461699702335,0.024238704284178545
17868,151245850.32597986,254451386.19819343,1.6823693717862336,0.024316017009428145
17575,254527010.55755535,426064852.2034768,1.673947496849778,0.024639729468332813
59,220685805.4954345,1981336923.8956327,8.9780895488388,0.02473964597573833
331,78704516.80669706,40119047.35413523,0.5097426295452646,0.02484382460344046
3899,23853790.118620165,7082303.06614833,0.2969047279668951,0.02498745460320062
23179,26282974.64737112,12074130.230122464,0.4593897910003175,0.025162779582453627
5696,18664480.52643256,39394551.81585707,2.110669609050553,0.025334642725565883
8775,11600301.947737802,5765312.654011447,0.4969967747378983,0.025378601045143657
5301,208165597.714164,387756202.3789185,1.8627295126419194,0.025442075258966718
23224,6493017.2113240585,20931257.051987335,3.2236564867689648,0.025608107312606168
20134,5133595.357364303,10630154.528234439,2.0707036274265653,0.025853858385585463
17981,753253783.5867219,4093876568.010312,5.4349233382098046,0.02596174516714171
8789,1472153605.866619,1146590289.9217274,0.7788523462174717,0.02617197315864214
15886,4925636.411918002,26040358.29400344,5.286699243776204,0.026291863989888725
24183,68363536.9128664,21153704.38750485,0.3094296366565494,0.026375499077527793
17588,9399399.18258796,82624694.97940755,8.790423023257352,0.026679222734805923
18111,1731528194.8820665,1037590808.7114725,0.599234139980113,0.026768524138531796
25086,17024514.100766815,52435603.85825452,3.080005899016685,0.026875264654281802
19938,81883523.69558933,27249476.7873389,0.33278339228098824,0.027001532561589006
21543,102478154.86459678,55171295.197737604,0.5383712779629455,0.027787800933309355
9131,207021776.18022585,348351046.9599646,1.6826782833546092,0.027975728321183613
20982,173938499.42674085,259060195.3618671,1.4893781205176928,0.02801439029997828
20158,2418265136.8962765,1058540344.6390014,0.43772716584649835,0.028042937408042878
3311,13363030.353925318,45817913.092732266,3.4287068037133883,0.028165479302406843
13171,81456966.09832601,32399585.49260822,0.39775094807114414,0.02838425924250323
16223,525244.6990327813,2181928.024143685,4.154117172741819,0.028503228910764393
11443,24415250.729483478,63447872.730647296,2.5986983887095056,0.028567803107406208
21861,100890532.80292624,52862896.52219312,0.5239629036894121,0.028912926069504394
13190,65504577.83476654,100086915.94705321,1.5279377297800416,0.02900664267777321
18777,10599619.59217727,3480707.556536154,0.32838042217146973,0.029069525134723797
18341,168283161.15324977,102578359.69680962,0.6095580745799931,0.02925793272009401
12250,42699674.78072557,88509022.93138827,2.072826628912425,0.02980705856558725
10293,82813848.92877027,118539987.28042825,1.4314029454468018,0.03015628851290591
11908,149995716.49135518,217079190.2224782,1.4472359298006308,0.030276264304299114
7202,530644341.1496026,1502889577.9972057,2.8321975030230306,0.030308928023407827
112,68840118.42613728,22162608.05630182,0.3219432006073816,0.03032501747043198
12471,475237858.6670372,336179603.49760413,0.707392303383682,0.030652843799902903
377,19104648.502425246,10379540.38408679,0.5432992071416104,0.030653205841500997
1910,45918530.032713525,161094187.08807284,3.5082609781564273,0.03076752437706898
11416,38403491.67556629,169862784.61174366,4.423107826932742,0.03097067931506556
23384,25912783.493820388,2343139488.1648397,90.42407538825867,0.031177994085476488
26194,46590941.42669688,2342586188.588844,50.27986378585019,0.03127540759247105
4733,4963358.751998724,135489653.08952728,27.29797700699474,0.031299891347648316
18788,59504461.58439203,34385593.13759655,0.5778657973205804,0.031791253217308885
16909,963670.6010669486,2868467.9668647535,2.9766062840236773,0.03185984660148409
18071,36959106.798903786,75227712.24963143,2.0354310145791374,0.03189560624097935
13289,24803161.13541363,5908717.892617313,0.2382243884301071,0.03201915898655157
9865,2003621.3258337139,775144.8789158067,0.38687194477392883,0.03248454149101181
23801,27491185.347850103,97471174.57777642,3.545542811066856,0.03249326005542167
13314,59815503.748556666,27633702.510825746,0.4619822751470607,0.032950191355214375
24704,124588659.30174544,59214195.429756805,0.4752775715030689,0.03296070101326034
5501,514105918.2798579,194876216.07970524,0.37905849582852447,0.033363312225825205
8308,329358673.9712733,160291223.8794147,0.4866767950778042,0.03360901606026259
10265,18366069.48164826,7898324.261295417,0.43004978660173204,0.03368047393554035
12243,14661471.23494093,83762009.13628206,5.713069840948982,0.03368504272366422
20679,4214542.134282715,1377501.7444455614,0.3268449336976441,0.03406835835642544
10633,69419064.93033515,160586898.19124633,2.313296762962765,0.03448410997415246
12234,42744539.0848424,17006932.809826754,0.39787381438527586,0.03451114480545864
18837,118774759.73548749,79821971.51667827,0.6720448998965989,0.034778022730753824
25385,13948100.395870533,3374536.9003916755,0.24193523165281625,0.03486899574564921
5359,5497170.506100993,42237185.726499006,7.683441086577611,0.03506086492741011
1548,17679486.54412945,349503470.39181435,19.768869956682565,0.03507715111590771
837,2115404.9777901014,6689038.087954996,3.162060294924156,0.03536863837327957
11869,369050032.809849,207171447.04948592,0.5613641203934803,0.03543804271373169
18699,33477571.893851433,20486751.256345067,0.6119545145419495,0.03544547221915877
19654,202646862.99164355,66189190.759468265,0.32662331793509025,0.03607593696814493
11363,2161019487.719225,2887934701.8120775,1.336376056867516,0.036602226144368755
12016,1122480609.5852864,4738204855.538208,4.22119082955811,0.036841979862672077
5274,14271331.346172718,4254368.183947673,0.2981059076235805,0.03709217177188279
1531,6292625.650807817,18549863.184027478,2.9478733065339964,0.03709379426603848
17788,16210780.93851451,6438060.359501565,0.39714683604203477,0.03770478493619224
11656,752700896.818545,95071664.91118854,0.12630736234409942,0.03782120110461817
7211,74720016.84682173,372242551.361068,4.9818317375941765,0.03791246739519431
16661,129910495.73479734,41865834.26717584,0.3222667578194901,0.03807132188164054
25497,14639132.252262698,38211310.3134593,2.610216893665481,0.03815900582656384
16811,63340725.825090036,117566973.6328197,1.8561039852538284,0.03854845427732183
