"Cluster","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster47119",0.341166937139638,-1.43287949532521,2.15138625573509,-0.666026145470386,0.505394388888322,0.992137794509163
"Cluster47143",0.0464354885291216,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster47152",0.47777737596431,-1.48186592834473,1.80801993399569,-0.819607074281442,0.412440139487377,0.992137794509163
"Cluster47170",0.192108637445216,-1.35583525587857,3.05310395126103,-0.444084209880429,0.656981702115966,0.992137794509163
"Cluster47172",0.0607354171062323,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster47256",0.0532605452433344,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster47262",0.18056322948449,0.280557924680033,2.85986336965797,0.0981018630668314,0.921851408151106,0.992137794509163
"Cluster47263",0.0509325552116899,-0.360635521291927,3.05565529406515,-0.118022318156231,0.906049974138273,0.992137794509163
"Cluster47264",0.233966266652722,0.601155209542626,2.75624675911145,0.218106454930191,0.827346168166787,0.992137794509163
"Cluster47289",0.0492672458707309,-0.360635521291927,3.05565529406515,-0.118022318156231,0.906049974138273,0.992137794509163
"Cluster47291",0.0532605452433344,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster47307",0.335090961635898,1.14702580838993,2.16840419357012,0.528972325266274,0.596824648060134,0.992137794509163
"Cluster47342",0.0532605452433344,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster47346",0.0626010807009203,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster47385",1.50501452952143,-2.02975710531024,0.901195711472608,-2.25229334701726,0.0243037403191005,0.992137794509163
"Cluster47410",0.0457188256417177,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster47428",0.0626010807009203,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster47443",0.530706414843522,0.269027018905269,1.67173892548577,0.160926454964908,0.872151325810999,0.992137794509163
"Cluster47459",0.0928709770582432,0.641224897389502,3.05565529406515,0.209848571150981,0.833785862670591,0.992137794509163
"Cluster47483",0.0607354171062323,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
