"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster1552",0.175948161185979,-1.12897779270979,3.08454692109338,-0.366010899360741,0.71435694254782,NA
"Cluster1566",0.430429051205696,-2.20507995869786,2.9587697405184,-0.745269200404733,0.456108996462147,NA
"Cluster1582",0.145912309310052,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster1584",0.313577856251635,-1.74827234128383,3.06089082282819,-0.571164553876009,0.567888103298181,NA
"Cluster1595",0.145912309310052,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster1602",0.196279082127649,-1.13150494368161,3.08452285530081,-0.36683305547148,0.713743549214649,NA
"Cluster1624",0.42602834947347,-0.798236086898776,3.02103126536215,-0.264226357420067,0.791605502269066,NA
"Cluster1654",0.130852721418432,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster1700",0.489288661063592,-2.37424609707804,2.58283372270793,-0.919240784338531,0.357969643085961,NA
"Cluster1719",0.138129262695196,0.930147171860161,3.08457506014951,0.30154791299359,0.762996719886232,NA
"Cluster1753",0.608692750430772,2.79482056752368,2.57234751433143,1.08648639110881,0.27726385857453,NA
"Cluster1830",0.191791233499224,-1.13150494368161,3.08452285530081,-0.36683305547148,0.713743549214649,NA
"Cluster1853",0.130852721418432,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster1899",0.130852721418432,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster1930",0.162925833270316,0.930147171860161,3.08457506014951,0.30154791299359,0.762996719886232,NA
"Cluster1947",0.397584678407698,0.105078199206581,3.08452279131783,0.0340662742069374,0.972824302150731,NA
"Cluster1954",0.145912309310052,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster1979",0.130852721418432,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster1986",0.234597548247972,-1.38211242945521,3.07891914797056,-0.448895330806662,0.653507164481192,NA
"Cluster2025",0.130852721418432,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster2026",0.14142054194507,0.930147171860162,3.08457506014951,0.30154791299359,0.762996719886232,NA
"Cluster2093",0.689443910102917,1.89048359427969,2.08732006995427,0.905698949333206,0.365095218782337,NA
"Cluster2094",0.130852721418432,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster2117",0.127240445009858,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster2156",0.845010089196121,-2.10400766964363,1.72797370342641,-1.21761556062547,0.223370098393638,NA
"Cluster2362",0.138129262695196,0.930147171860161,3.08457506014951,0.30154791299359,0.762996719886232,NA
"Cluster2363",0.381721335029575,-2.02890470001952,3.04790621667075,-0.665671630223487,0.505621010706365,NA
"Cluster2393",0.606824791561601,-2.70130012280281,2.57896123422328,-1.04743727317653,0.294897948393782,NA
"Cluster2410",0.788365030171724,2.05731982006562,1.94546293320419,1.05749628273678,0.290285150235848,NA
"Cluster2467",0.293246935309966,-1.66146856942627,3.06543209629892,-0.542001426628324,0.587817523093313,NA
"Cluster2526",0.175948161185979,-1.12897779270979,3.08454692109338,-0.366010899360741,0.71435694254782,NA
"Cluster2547",0.40912339274409,-2.11999375652796,3.015718456925,-0.702981324950882,0.482067387748374,NA
"Cluster2548",0.784217313617192,-1.93092402947314,2.13024459576862,-0.906433013987504,0.364706705261689,NA
"Cluster2550",0.212130812917605,1.34234183301865,3.08457506014951,0.435178851816816,0.663432611853092,NA
"Cluster2604",0.218868463965078,-1.13150494368161,3.08452285530081,-0.36683305547148,0.713743549214649,NA
"Cluster2609",0.0654263607092162,-0.306433806485656,2.84853252753519,-0.107576025031671,0.914332015856622,NA
"Cluster2693",0.554952378146831,-2.57085263811017,2.68189244895215,-0.958596471351651,0.337762070883032,NA
"Cluster2734",0.127860822332816,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster2758",0.127240445009858,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster2792",0.146283786022152,0.930147171860161,3.08457506014951,0.30154791299359,0.762996719886232,NA
"Cluster2799",0.388945887846723,-2.05375862364477,3.04687083339552,-0.674055034146626,0.500276325652823,NA
"Cluster2811",0.361837993257831,-1.95796532018403,3.05095928427986,-0.641753998577593,0.521032922269726,NA
"Cluster2812",0.130852721418432,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster2817",0.158921246823295,0.930147171860161,3.08457506014951,0.30154791299359,0.762996719886232,NA
"Cluster2879",0.117298774123986,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster2889",0.117298774123986,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster2903",0.321860470496031,-1.78121829924728,3.05923568917908,-0.582242913008529,0.560403071890758,NA
"Cluster2917",0.43309170372891,-2.1966125013032,2.96305230779275,-0.741334365082304,0.458490730048348,NA
"Cluster2972",0.379004216960851,-2.0191768832751,3.04831624237206,-0.662390881631056,0.507720745961845,NA
"Cluster3008",0.802656294519324,-3.10610250666357,2.01977845038171,-1.53784317585751,0.124086963930939,NA
"Cluster3073",0.130852721418432,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster3081",0.146283786022152,0.930147171860161,3.08457506014951,0.30154791299359,0.762996719886232,NA
"Cluster3265",0.117298774123986,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster3297",0.127860822332816,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
"Cluster3308",0.234597548247972,-1.38211242945521,3.07891914797056,-0.448895330806662,0.653507164481192,NA
"Cluster3353",0.130852721418432,-0.718627550830472,3.08457506014951,-0.232974570829747,0.815781152027347,NA
